Vocabulary,PartOfSpeech,Meaning,Example,Pronounce
aberration,noun,Is a state different from the norm/unsual/unexpected,"In a moment of aberration, she agreed to go with him",https://dictionary.cambridge.org/media/english/us_pron/a/abe/aberr/aberration.mp3
abhor,verb,To regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity,"to hate a way of behaving or thinking, often because you think it is not moral",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70011.mp3
abnegation,noun,The denial and rejection of a doctrine or belief; the act of not allowing yourself to have something; especially something you like or want,"Her abnegation of ice cream and cookies is due to her Olympic team training. 
The school counselor hoped she could encourage her students to consider the abnegation of drug use",
abscond,verb,Leave hurriedly and secretly; run away,"Since the boys could not pay for their meals, they decided to abscond before the waitress returned with their check",https://dictionary.cambridge.org/media/english/us_pron/a/abs/absco/abscond.mp3
abstruse,adjective,"difficult to understand, esp. when you think it could be explained more simply",an abstruse philosophical essay,https://dictionary.cambridge.org/media/english/us_pron/u/usa/usabo/usabort027.mp3
acquiesce,verb,Means to accept something reluctantly but without protest; agree or express agreement,"Reluctantly, he acquiesced to/in the plans.",
acrimonius,adjective,"Full of anger, arguments or bad feeling",Their marriage ended eight years ago in an acrimonious divorce.,
adage,noun,"A wise saying/A short, pointed and memorable saying, which is considered a veritable truth by the majority of people/A traditional saying expressing a common experience or observation","He remembered the old adage ""Look before you leap"".",https://dictionary.cambridge.org/media/english/us_pron/a/ada/adage/adage.mp3
adjure,verb,Order someone to do something; means to command solemnly; ask for or request earnestly,The judge adjured him to answer truthfully.,
adroit,adjective,"Having or showing skill, cleverness, or resourcefulness in handling situations/ Very skillful and quick about the way you move or think",She became adroit at dealing with difficult questions.,https://dictionary.cambridge.org/media/english/us_pron/a/adr/adroi/adroit.mp3
adulation,noun,Means high praise or admiration; intense adoration,"Being on top of Billboard, they love the adulation",
adulterate,verb,make smth impure or weaker by addig smth of inferior quality; to make substance less pure by adding smth else to it,There were complaints that the beer had been adulterated with water.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70089.mp3
adumbrate,verb,describe roughly and briefly or give the main points or summary of; esp. smth will happen in the future,The project's objectives were adumbrated in the report.,
adversity,noun,"misfortune, an unfavorable turn of events; a difficult or unlucky situation",She was always cheerful in adversity.,
affectation,noun,a deliberate pretense or exaggerated display; smth that is not part of your personality but that you do to impress people,She has so many little affectations.,https://dictionary.cambridge.org/media/english/us_pron/a/aff/affec/affectation.mp3
aggregate,noun,a whole formed by combining several elements. To aggregate is to add together,"They purchased an aggregate of 3,000 shares in the company.",https://dictionary.cambridge.org/media/english/us_pron/a/agg/aggre/aggregate.mp3
akrasia,noun,"state of mind in which someone acts against their better judgement through the ""weakness of will"" (Thinking about changing bad habit (but not done it))",I am really quite good with that kind of akrasia; in fact I rather enjoy it,
alacrity,verb,brisk and cheerful readinesss; quickly and with enthusiasm,She accepted the money with alacrity.,
algorithm,noun,"procedure or formula for solving a problem, based on conducting a sequence of specified actions",Music apps use algorithms to predict the probability that fans of one particular band will like another.,https://dictionary.cambridge.org/media/english/us_pron/a/alg/algor/algorithm.mp3
allegory,noun,story or picture with a hidden meaning. The characters in allegories are symbols which represent particular ideas,"Augustine's ""City of God"" is an allegory of the triumph of Good over Evil.",https://dictionary.cambridge.org/media/english/us_pron/a/all/alleg/allegory.mp3
alleviate,verb,make smth easier to deal with or endure; make smth bad less severe,The drugs did nothing to alleviate her pain/suffering.,https://dictionary.cambridge.org/media/english/us_pron/a/all/allev/alleviate.mp3
allusion,noun,"figure of speech that makes a references to a plaec, person or event (can be real or imaginary and may refer to anything)",The film is full of allusions to Hitchcock.,
amalgamate,verb,"to bring together, unite, to combine different things to create smth new",The electricians' union is planning to amalgamate with the technicians' union.,https://dictionary.cambridge.org/media/english/us_pron/a/ama/amalg/amalgamate.mp3
ambiguous,adjective,unclear or vague in meaning; having more than one possible meaning,His reply to my question was somewhat ambiguous.,
ambivalence,adjective,"state of having simultaneous conflicting reactions, beliefs or feelings towards some object/ Having attitude towards someone or smth that contains both positive and negative components/mixed feelings, uncertainty, indecisiveness",her ambivalence towards men,https://dictionary.cambridge.org/media/english/us_pron/a/amb/ambiv/ambivalence.mp3
amend,verb,"make minor changes to the text in order to make it more fair or accurate, or to reflect changing circumstances (usually change text in law…)","In line 20, ""men"" should be amended (= changed) to ""people"".",https://dictionary.cambridge.org/media/english/us_pron/a/ame/amend/amend.mp3
amicable,adjective,"friendly, agreeable, characterized by or showing goodwill, peaceable","His manner was perfectly amicable, but I felt uncomfortable.",https://dictionary.cambridge.org/media/english/us_pron/a/ami/amica/amicable.mp3
anachronistic,adjective,"out-of-date, not attributed to the correct historical period",He described the law as anachronistic and ridiculous.,https://dictionary.cambridge.org/media/english/us_pron/a/ana/anach/anachronistic.mp3
anagram,noun,word or phrase made by tranposing the letters of another word or phrase (eg. Secure is anagram of rescue…),"These included anagram solving, mathematical problem solving and auditory discrimination tasks.",https://dictionary.cambridge.org/media/english/us_pron/a/ana/anagr/anagram.mp3
anew,adjective,"once more/again/in a new, typically more positive way",The film tells anew the story of his rise to fame and power.,https://dictionary.cambridge.org/media/english/us_pron/a/ane/anew_/anew.mp3
annihilation,noun,"a complete destruction, so that nothing or noone is left",During the Cold War the threat of nuclear annihilation was always on people's minds.,https://dictionary.cambridge.org/media/english/us_pron/a/ann/annih/annihilation.mp3
annulment,noun,"an official or legal cancellation
an official announcement that something such as a law, agreement, or marriage no longer exists, or the process of making this announcement",Judges only grant marriage annulments in exceptional circumstances.,https://dictionary.cambridge.org/media/english/us_pron/a/ann/annul/annulment.mp3
apathy,adjective,"lack of interest, enthusiasm or concern",widespread apathy among students,
apogee,noun,"highest point in the development of somethng, a climax or culmination. (Astronomy: point in the moon orbit at which it is furthest from the earth - autonym: perigee)","At their apogee, the novels of Spillane claimed worldwide sales of over $180 million.",https://dictionary.cambridge.org/media/english/us_pron/u/usa/usaor/usaorta015.mp3
apostasy,verb,the act of giving up your religious or political beliefs and leaving a religion or a political party. One who commits apostasy is known as an apostate,In those days apostasy was punishable by death.,https://dictionary.cambridge.org/media/english/us_pron/u/usa/usaor/usaorta021.mp3
apotheosis,noun,"the highest point in the development of something, a culmination, the glorificaion of a subject to divine level",Most people agree that her acting career achieved its apotheosis in this movie.,https://dictionary.cambridge.org/media/english/us_pron/u/usa/usaor/usaorta026.mp3
appease,verb,"make peace with; pacify or placate so by acceding to their demands
prevent further disagreement or arguments by giving the other side something they want",She claimed that the government had only changed the law in order to appease their critics.,
appraise,verb,"inform sb of sth
examine someone about smth to jugde their performance, quality, success, needs","At the end of each teaching practice, trainee teachers are asked to appraise their own performance.",https://dictionary.cambridge.org/media/english/us_pron/a/app/appra/appraise.mp3
archaism,noun,form of speech or writing no longer current or exist within a few special context,"This distinctive modal colouring in turn supports one of the track's principal themes, namely the music's sense of archaism.",
archetype,noun,"something that is considered to be a perfect or typical example of a particular kind of person or thing, because it has all their most important characteristics",The United States is the archetype of a federal society.,
arid,adjective,"extremely dry or deathly boring. Eg when you describe something as arid, it make you feel bored, unhappy, with little interest","After several arid years, the company has started to become successful.",https://dictionary.cambridge.org/media/english/us_pron/a/ari/arid_/arid.mp3
arouse,verb,"cause someone to have particular feeling, or response; to cause an emotion or attitude",Our suspicions were first aroused when we heard a muffled scream.,
assertion,noun,"a statement, usually backed up be some kind of solid proof or reasoning; a confident and forceful statement of fact of belief",I certainly don't agree with his assertion that men are better drivers than women.,https://dictionary.cambridge.org/media/english/us_pron/a/ass/asser/assertion.mp3
assiduous,adjective,"persisitent, hard-working","Someone assiduous is a careful, methodical and very persistent person",https://dictionary.cambridge.org/media/english/us_pron/u/usa/usasp/usaspid012.mp3
assuage,verb,make less intense (of an unpleasant feeling),The government has tried to assuage the public's fears.,
assumption,noun,smth that you consider likely to be true even thouhg noone has told you directly or even though you have no proof,People tend to make assumptions about you when you have a disability.,https://dictionary.cambridge.org/media/english/us_pron/a/ass/assum/assumption.mp3
attendee,noun,participant or a person who attends a conference or other gathering,Both hotel staff and attendees should practice effective hand washing after using the bathroom.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus02/eus02212.mp3
austere,adjective,"stern and forbidding
very simple, with things that are absolute necessary and very limited",an austere childhood during the war,https://dictionary.cambridge.org/media/english/us_pron/a/aus/auste/austere.mp3
avail,verb,"to be of use, help, worth or advantage, as in accomplishing to an end","We tried to persuade her not to resign, but to no avail (= did not succeed).",https://dictionary.cambridge.org/media/english/us_pron/u/usa/usaut/usautoc017.mp3
avarice,adjective,greedy desire for wealth or material gain,Her business empire brought her wealth beyond the dreams of avarice (= an extremely large amount of money).,https://dictionary.cambridge.org/media/english/us_pron/a/ava/avari/avarice.mp3
axiom,noun,"statement that is taken to be true, to serve as a premise or starting point for further reasoning and arguments",It is a widely held axiom that governments should not negotiate with terrorists.,https://dictionary.cambridge.org/media/english/us_pron/a/axi/axiom/axiom.mp3
banter,noun,"good-humored, playful conversation, playful and friendly exchange of teasing remarks",He considered himself a master of witty banter.,
bashful,adjective,"self-consciously timid, often feeling unconfortable with other ppl and easily embarrased",She gave a bashful smile as he complimented her on her work.,
beforehand,adjective,at an earlier or preceding time; in advance; prior to; ealier,I knew she was coming that afternoon because she had phoned beforehand to say so.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70476.mp3
bellicose,adjective,inclined or ready to fight; aggressively hostile,The general made some bellicose statements about his country's military strength.,https://dictionary.cambridge.org/media/english/us_pron/u/usb/usbeh/usbehol018.mp3
benevolent,adjective,friendly and helpful; characterized by or expressing goodwill or kindly feelings,He was a benevolent old man and wouldn't hurt a fly.,https://dictionary.cambridge.org/media/english/us_pron/b/ben/benev/benevolent.mp3
bewilder,verb,to become perplexed and confused,The instructions completely bewildered me,
bias,noun,action of supporting or oppsing a particular person or thing in an unfair way or differnet from the way you treat other people,Reporters must be impartial and not show political bias,
blare,verb,make a loud and unpleasant noise,"If something such as a siren or radio blares or if you blare it, it makes a loud, unpleasant noise",
boon,noun,"something that is desirable, favorable or beneficial",Guide dogs are a great boon to the partially sighted.,https://dictionary.cambridge.org/media/english/us_pron/b/boo/boon_/boon.mp3
brackish,adjective,distasteful and unpleasant,Brackish water is slightly salty and unpleasant,https://dictionary.cambridge.org/media/english/us_pron/b/bra/brack/brackish.mp3
brazen,adjective,"obvious, without any attempt to be hidden","Someone is brazen, who is very bold and don’t care what other people think about them or their actions
He told me a brazen lie",
burgeon,verb,"develop, expand or grow rapidly",Product placement has burgeoned to the extent that corporate logos are now found in most mainstream films.,https://dictionary.cambridge.org/media/english/us_pron/u/usb/usbun/usbunse010.mp3
cadaverous,adjective,"apperance or color of dead human body, looking very pale and ill",A visitor described their appearance as cadaverous and said that they all looked in poor health.,
cajole,verb,persuade someone to do smth by ecouraging them softly or being good to them (sometimes false promise),He really knows how to cajole people into doing what he wants.,https://dictionary.cambridge.org/media/english/us_pron/c/caj/cajol/cajole.mp3
candor,noun,quality of being honest and straightforward,"""We really don't know what to do about it,"" she said with surprising candor.",
camaraderie,noun,"brotherhood, partnership, jovial unity, sociability amongst friends","When you've been climbing alone for hours, there's a tremendous sense of camaraderie when you meet another climber.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70673.mp3
cantankerous,adjective,"ill humored, irritable, marked by ill-tempered contradiction or opposition, ugly, malicious (argueing or complaining a lot)",He's getting a bit cantankerous in his old age.,
castigation,noun,"criticize someone or something severely, verbal punishment",Health inspectors castigated the kitchen staff for poor standards of cleanliness,
catharsis,noun,"the purging of the emotions, especially through certain kinds of art (as music or tragedy) that brings about spiritual renewal or release from tension",It’s the director’s hope that Germans who see his movie will go through a catharsis similar to his own.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70723.mp3
cavil,verb,to raise irritating and trivial objections; to argue or protest about unimportant details,The one cavil I have about the book is that it is written as a diary.,
circuitous,adjective,"indirect, taking the longest route",A circuitous journey/path is longer than it needs to be because it is not direct,
circumlocution,noun,"the use of too many words to say smth, esp. in order to avoid saying smth clearly, or indirect way to say smth unplesant","""Economical with the truth"" is a circumlocution for ""lying"".",
clairvoyant,noun,"exceptionaly insightful, able to foresee the future.",Clairvoyant is believed to know about the future events or to be able to communicate with dead people,
coercion,noun,the use of force to persuade someone to do something that they are unwilling to do,"He claimed the police had used coercion, threats, and promises to obtain the statement illegally",https://dictionary.cambridge.org/media/english/us_pron/c/coe/coerc/coercion.mp3
cogent,adjective,resonable and convincing; based on evidence; forcefully persuasive,He makes a cogent argument for improving early childhood education.,
cognitive,noun,"relating to mental process involved in knowing, learning, and understanding things",Some of her cognitive functions have been impaired.,
coincide,verb,"means to happen at or near the same time or during the same period, to occupy exactly the same space",I timed my holiday to coincide with the children's,
comity,noun,a state or atmosphere of harmony or mutual civility; polite and considerate behaviour towards others based on mutual respect,a show of public comity in the White House,
commensurate,adjective,equal in significance; corresponding in size or degree,a salary that is commensurate with skills and experience,https://dictionary.cambridge.org/media/english/us_pron/c/com/comme/commensurate.mp3
concede,verb,to admit or accept that something is true after first denying or resisting it,The government has conceded (that) the new tax policy has been a disaster,
conciliation,noun,the act of placating and overcoming distrust and animosity; the action or process of ending a disagreement,All attempts at conciliation failed and the dispute continued.,
condescending,adjective,showing or characterized by a patronizing or superior attitude toward others,I hate the way he's so condescending to his staff!,
